CASEID,SNRLGSVC,SNRLGIMP,SNRLDCSN,SNRLFRND
1,99,99,99,99
2,1-2,Agree,Agree,Disagree
3,52+,Strongly Agree,Strongly Agree,Disagree
4,6-24,Agree,Agree,Strongly Disagree
5,1-2,Strongly Disagree,Strongly Disagree,Strongly Disagree
6,3-5,Agree,Strongly Agree,Disagree
7,1-2,Strongly Agree,Agree,Disagree
8,0,Agree,Disagree,Strongly Disagree
9,6-24,Agree,Agree,Strongly Disagree
10,0,Disagree,Disagree,Strongly Disagree
11,1-2,Agree,Agree,Disagree
12,6-24,Strongly Agree,Strongly Agree,Strongly Agree
13,25-52,Strongly Agree,Strongly Agree,Agree
14,0,Strongly Agree,Strongly Agree,Agree
15,1-2,Agree,Agree,Disagree
16,99,99,99,99
17,0,Strongly Agree,Strongly Agree,Agree
18,6-24,Strongly Agree,Strongly Agree,Disagree
19,99,99,99,99
20,99,99,99,99
21,0,Strongly Agree,Strongly Agree,Agree
22,99,99,99,99
23,1-2,Agree,Agree,Disagree
24,0,Agree,Agree,Agree
25,3-5,Agree,Agree,Disagree
26,6-24,Strongly Disagree,Agree,Agree
27,0,Disagree,Disagree,Agree
28,99,99,99,99
29,99,99,99,99
30,99,99,99,99
31,99,99,99,99
32,99,99,99,99
33,0,Disagree,Disagree,Disagree
34,99,99,99,99
35,99,99,99,99
36,1-2,Agree,Agree,Agree
37,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
38,0,Disagree,Disagree,Disagree
39,1-2,Strongly Disagree,Strongly Disagree,Strongly Disagree
40,99,99,99,99
41,1-2,Strongly Disagree,Strongly Disagree,Strongly Disagree
42,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
43,1-2,Strongly Agree,Agree,Strongly Disagree
44,0,Agree,Agree,Agree
45,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
46,99,99,99,99
47,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
48,99,99,99,99
49,25-52,Agree,Agree,Disagree
50,99,99,99,99
51,1-2,Agree,Agree,Agree
52,0,Agree,Agree,Disagree
53,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
54,1-2,Strongly Agree,Agree,Strongly Disagree
55,99,99,99,99
56,99,99,99,99
57,6-24,Agree,Agree,Disagree
58,99,99,99,99
59,99,99,99,99
60,99,99,99,99
61,6-24,Strongly Agree,Strongly Agree,Strongly Agree
62,0,Agree,Agree,Agree
63,99,99,99,99
64,0,Disagree,Disagree,Disagree
65,25-52,Agree,Agree,Disagree
66,99,99,99,99
67,6-24,Agree,Agree,Disagree
68,25-52,Strongly Agree,Agree,Disagree
69,0,Agree,Agree,Strongly Disagree
70,0,Disagree,Disagree,Strongly Disagree
71,52+,Strongly Agree,Strongly Agree,Disagree
72,3-5,Strongly Agree,Strongly Agree,Agree
73,0,Agree,Disagree,Strongly Disagree
74,6-24,Agree,Agree,Agree
75,52+,Strongly Agree,Strongly Agree,Strongly Agree
76,3-5,Strongly Agree,Strongly Agree,Disagree
77,99,99,99,99
78,0,Strongly Agree,Strongly Agree,Disagree
79,3-5,Strongly Agree,Strongly Agree,Disagree
80,99,99,99,99
81,6-24,Agree,Agree,Disagree
82,25-52,Strongly Disagree,Strongly Agree,Agree
83,52+,Strongly Agree,Strongly Agree,Strongly Disagree
84,99,99,99,99
85,52+,Strongly Agree,Strongly Agree,Strongly Agree
86,1-2,Agree,99,99
87,1-2,Strongly Disagree,Strongly Agree,Disagree
88,1-2,Strongly Agree,Strongly Agree,Agree
89,99,99,99,99
90,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
91,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
92,25-52,Agree,Disagree,Strongly Disagree
93,0,Disagree,Disagree,Strongly Disagree
94,3-5,Disagree,Agree,Disagree
95,0,Agree,Disagree,Strongly Disagree
96,99,99,99,99
97,25-52,Strongly Agree,Strongly Agree,Agree
98,99,99,99,99
99,0,Agree,Agree,Agree
100,25-52,Strongly Agree,Strongly Agree,Agree
101,0,Agree,Agree,Strongly Disagree
102,25-52,Agree,Agree,Strongly Disagree
103,99,99,99,99
104,25-52,Strongly Agree,Strongly Agree,Agree
105,99,99,99,99
106,6-24,Strongly Agree,Strongly Agree,Agree
107,1-2,Strongly Agree,Strongly Agree,Strongly Agree
108,52+,Strongly Agree,Strongly Agree,Agree
109,1-2,Agree,Disagree,Disagree
110,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
111,0,Disagree,Agree,Disagree
112,99,99,99,99
113,3-5,Strongly Agree,Agree,Disagree
114,99,99,99,99
115,0,Strongly Agree,Strongly Agree,Strongly Agree
116,25-52,Strongly Agree,Strongly Agree,Strongly Agree
117,52+,Strongly Agree,Strongly Agree,Strongly Agree
118,3-5,Disagree,Disagree,Disagree
119,0,Disagree,Disagree,Disagree
120,99,99,99,99
121,25-52,Strongly Agree,Strongly Agree,Agree
122,99,99,99,99
123,99,99,99,99
124,3-5,Strongly Agree,Strongly Agree,Disagree
125,99,99,99,99
